ID,Jogador,Time,Idade,Jogos,Minutos,Roubadas_de_bola,Desarmes,Faltas_cometidas,Dribles_sofridos,Gols,Assistências,Chutes,Passes_chaves,Dribles_realizados,Faltas_sofridas,Impedimentos,Perdas_de_bola,Nota
292,Christian,Athletico Paranaense,20,17(7),1581,0.8,0.4,2,1,2,0,0.6,0.8,0.6,1.3,0.1,0.8,6.44
293,Bruno Henrique,Palmeiras,31,7(6),630,0.8,0.5,1.3,0.4,0,0,0.8,0.8,0.5,0.5,0.1,0.2,6.44
294,Miguel Figueira,Goias,20,6(10),593,1.3,0.3,1.4,0.8,1,2,0.5,0.4,0.8,1.2,0,0.6,6.44
295,Éderson Silva,Corinthians,21,8(7),703,1,1.2,0.9,0.9,0,0,0.6,0.1,0.9,1,0,1.1,6.43
296,Isaque,Gremio,23,9(10),912,0.7,0.1,0.6,0.5,2,1,1.6,0.6,0.8,0.5,0.1,0.9,6.43
297,Marcos Júnior,Vasco da Gama,25,12(7),1019,1.2,1.1,0.7,0.9,0,1,0.3,0.2,0.8,1,0,0.5,6.43
298,Damián Musto,Internacional,33,6(8),630,1.1,1.6,1.7,0.4,1,0,0.4,0.3,0.1,0.9,0,0.1,6.42
299,Bruno Gomes,Vasco da Gama,19,7(8),829,1.5,0.8,1.4,0.9,0,0,0.5,0.4,0.5,1.7,0,1,6.42
300,Matheus Vargas,Atletico GO,24,9(15),1041,0.6,0.3,1.3,0.6,0,1,0.8,0.8,0.9,1.5,0,0.7,6.42
301,Fessin,Bahia,22,8(7),680,0.7,0.2,0.5,0.3,1,0,1.1,0.6,0.8,0.7,0,0.7,6.41
302,Léo Natel,Corinthians,23,9(14),871,0.7,0.3,1.5,1,2,1,1,0.6,0.7,0.5,0.2,0.6,6.41
303,Everton Felipe,Atletico GO,23,7(8),641,0.4,0.4,0.4,0.4,0,1,0.5,0.4,1.3,1.2,0,0.9,6.41
304,Abel Hernández,Internacional,30,10(8),855,0.5,0.2,0.7,0.1,2,1,1.1,0.4,0.2,0.6,0.1,0.5,6.41
305,Cayo Tenório,Vasco da Gama,21,4(8),557,0.5,0.3,0.8,0.3,0,1,0.1,0.4,0.9,1.3,0,0.4,6.41
306,Júnior Tavares,Sport Recife,24,8(5),722,1,0.7,0.8,0.4,0,0,0.7,0.4,0.6,1.7,0.1,0.8,6.40
307,Douglas Friedrich,Bahia,32,24,2127,0,0.1,0,0.1,0,0,0,0,0,0.2,0,0,6.40
308,Marcelo Lomba,Internacional,34,29,2608,0,0.1,0,0,0,0,0,0,0,0.1,0,0,6.40
309,Marco Antonio,Bahia,23,2(16),441,0.3,0.1,0.6,0.3,1,2,0.6,0.8,0.4,1.3,0.1,0.4,6.40
310,Rafael Forster,Botafogo RJ,30,17(3),1422,0.9,1.1,1,1.5,0,0,0.7,0.4,0.6,0.9,0.1,0.1,6.39
311,Yuri César,Fortaleza,20,7(19),1035,0.6,0.2,0.7,0.5,1,1,1.2,0.7,1.1,1.3,0.2,0.6,6.38
312,Mateus Gonçalves,Ceara,26,6(8),586,0.6,0.3,0.4,1.4,1,0,0.9,0.6,1.1,0.1,0.1,0.4,6.38
313,Marlon,Fortaleza,30,7(9),618,1.4,0.4,1.5,0.8,0,0,0.3,0.1,0.4,0.6,0.1,0.3,6.37
314,Ricardinho,Sport Recife,31,20(4),1641,1.6,0.5,0.9,1,0,0,0.5,0.1,0.4,1.5,0.1,0.3,6.37
315,Matheus Bueno,Coritiba,22,12(9),1033,1.1,0.8,0.8,0.4,0,0,0.4,0.2,0.3,0.8,0,0.4,6.37
316,Matheus Jesus,Red Bull Bragantino,23,8(4),708,0.7,0.5,1.2,1,0,1,1.3,1.1,0.8,0.7,0.1,0.8,6.37
317,Yuri Lima,Fluminense,26,13(2),1029,1.1,1.5,1.8,1.5,0,0,0.7,0.5,0.1,0.7,0,0.2,6.37
318,Heron,Goias,20,12(6),1229,1.2,0.6,1,0.2,0,0,0.1,0.2,0.4,0.6,0,0.3,6.37
319,Douglas Baggio,Goias,25,11(8),1009,1.4,0.4,1,0.4,0,1,1.1,0.1,0.8,1.6,0.1,0.9,6.36
320,Rossi,Bahia,27,13(13),1389,0.5,0.4,0.7,0.4,2,1,1,0.8,0.7,1.2,0.2,0.5,6.35
321,Danilo,Palmeiras,19,5(9),612,0.9,0.7,1,1.1,0,0,0.6,0,0.7,0.5,0,0.6,6.35
322,Carlos Sánchez,Santos FC,36,10(2),768,1,0.3,0.9,0.8,0,1,1,1.5,0.1,1.5,0.1,0.5,6.35
323,Willian Maranhão,Atletico GO,25,11(4),885,1.1,1.5,1.7,0.3,0,0,0.5,0.3,0.1,0.7,0.1,0.3,6.34
324,Natanael,Coritiba,19,9(5),772,1.3,1.1,1.4,1.2,0,0,0.4,0.4,0.4,0.8,0.1,0.6,6.34
325,Felippe Cardoso,Fluminense,22,3(16),562,0.3,0.1,1.1,0.1,2,0,0.9,0.2,0.7,0.6,0.4,0.6,6.34
326,Ramires,Palmeiras,33,4(12),549,1.1,0.5,0.8,0.3,0,0,0.4,0.1,0.4,0.6,0,0.4,6.33
327,Rhuan,Botafogo RJ,20,11(12),975,0.2,0,0.2,0.5,0,1,0.9,0.5,1,1.2,0.1,0.7,6.33
328,Pablo,Sao Paulo,28,12(13),1122,0.4,0.2,1.3,0.2,1,1,1.3,0.5,0.2,0.6,0.4,0.6,6.32
329,Rodolfo,Coritiba,26,13(2),1011,0.3,0.9,1.1,0,0,0,0.3,0.1,0.3,0.5,0.1,0.1,6.32
330,Lincoln,Flamengo,20,2(12),273,0.1,0.3,0.1,0.3,1,1,0.9,0.4,0.6,0.3,0,0.7,6.32
331,Camacho,Corinthians,30,3(13),446,1.2,0.4,1.1,0.4,0,2,0.3,0.3,0,0.1,0,0.3,6.31
332,Wellington,Athletico Paranaense,29,17(3),1426,0.8,0.7,1.9,0.9,0,0,0.4,0.3,0.3,0.4,0,0.4,6.31
333,Yan Sasse,Coritiba,23,5(11),536,0.6,0.4,1.1,0.5,0,0,0.7,0.4,1.5,0.5,0.1,0.7,6.30
334,Jonathan Gómez,Sport Recife,31,12(12),986,0.8,0.3,1,0.8,1,0,0.9,0.5,0.5,1.4,0,0.9,6.30
335,Hyuri,Atletico GO,29,8(8),725,0.4,0.3,1,0.3,2,0,0.9,0.3,0.3,0.3,0.4,0.6,6.30
336,Ribamar,Vasco da Gama,23,4(11),464,0.3,0,0.7,0.1,4,0,0.8,0.2,0.1,0.5,0.4,0.6,6.30
337,Andrés D'Alessandro,Internacional,39,4(16),531,0.4,0,0.3,0.5,0,0,0.4,0.8,0.4,0.6,0.2,0.7,6.30
338,Thaciano,Gremio,25,4(14),584,0.6,0.3,0.7,0.4,1,0,0.8,0.3,0.4,0.5,0.1,0.4,6.30
339,Marcos Guilherme,Internacional,25,15(9),1143,0.9,0.1,0.9,0.8,0,1,0.5,0.7,0,0.4,0.3,0.2,6.29
340,Jean Mota,Santos FC,27,10(10),741,1.1,0.2,1.2,1,0,1,0.9,0.5,0.1,0.9,0,0.2,6.29
341,Wescley,Ceara,29,2(13),265,0.3,0,0.8,0.1,1,3,0.3,0.6,0.4,0.3,0,0.6,6.29
342,Weverson,Red Bull Bragantino,20,7(7),595,0.9,0.8,0.6,0.5,0,0,0.2,0.2,0.4,0.1,0.1,0.3,6.28
343,Ronaldo Henrique,Sport Recife,26,11(5),790,0.9,0.8,1.4,0.7,0,0,0.3,0.3,0.1,0.8,0,0.3,6.27
344,Alison,Santos FC,27,13(2),1115,1.9,0.9,1.7,1.7,0,1,0.1,0.3,0.3,1.4,0,0.1,6.27
345,Michael,Flamengo,24,4(13),488,0.6,0.5,0.8,0.8,0,1,0.9,0.6,0.5,0.6,0,0.7,6.26
346,Salomon Kalou,Botafogo RJ,35,11(11),1072,0.4,0.3,0.8,0.4,1,0,1.1,0.7,0.6,0.9,0.4,1,6.25
347,Daniel,Goias,21,0(12),248,1.5,0.2,1.1,0.5,0,0,0.6,0.3,0.3,0.3,0,0.3,6.25
348,Rafael Sóbis,Ceara,35,6(8),506,0.1,0.1,0.6,0.4,0,0,1.4,0.5,0.4,0.1,0,0.7,6.24
349,Fernando Pacheco,Fluminense,21,5(7),408,0.8,0.2,0.8,0.4,0,0,0.5,0.2,0.3,0.8,0.3,1.2,6.21
350,Saldanha,Bahia,21,0(17),395,0.1,0,0.7,0.1,2,0,1,0.2,0.8,0.6,0.2,0.7,6.21
351,Fernando Canesin,Athletico Paranaense,28,5(7),442,0.5,0.3,1,0.6,0,1,0.3,0.3,0.2,0.4,0,0.3,6.21
352,Lucas Lourenço,Santos FC,19,1(12),299,0.8,0.3,0.8,0.6,0,0,0.5,0.3,0.4,1,0,0.5,6.20
353,Vinicius Paiva,Vasco da Gama,19,9(7),696,0.5,0.1,0.3,0.3,1,0,0.4,0.3,0.8,0.9,0.2,0.8,6.20
354,Bruninho,Sport Recife,20,1(12),254,0.5,0.1,0.4,0.5,0,0,0.8,0.2,0.2,0.2,0.1,0.7,6.18
355,Luiz Otávio,Botafogo RJ,23,2(13),332,0.3,0.5,0.6,0.2,0,0,0.3,0.1,0,0.3,0,0.3,6.17
356,Hernane Brocador,Sport Recife,34,7(13),608,0.3,0.3,0.5,0.4,2,0,0.4,0.2,0.1,1.3,0,0.6,6.15
357,Morato,Red Bull Bragantino,28,7(10),688,0.7,0.3,1.1,0.9,0,0,1,0.4,0.6,0.6,0.1,1.1,6.14
358,Warley,Botafogo RJ,21,6(6),455,0,0.3,1.3,0.3,1,0,0.4,0.3,0.3,0.9,0,0.7,6.13
359,Lucho González,Athletico Paranaense,40,4(8),342,0.5,0.2,0.8,0.5,0,0,0.4,0.2,0.3,0.3,0.3,0.5,6.13
360,Mariano Vázquez,Fortaleza,28,1(13),203,0.4,0.1,0.6,0.5,0,0,0.1,0.1,0.3,0.7,0.1,0.4,6.11
361,Jan Carlos Hurtado,Red Bull Bragantino,20,2(14),286,0.1,0.1,1.2,0.6,1,0,0.6,0.1,0.2,0.1,0,0.9,6.07
362,Marcos Leonardo,Santos FC,17,3(9),297,0.2,0.1,1.2,0.3,1,0,0.3,0,0,1.3,0,0.7,6.04
363,Walter,Athletico Paranaense,31,1(13),241,0,0,0.5,0.4,0,0,0.6,0.1,0.2,0.6,0.2,0.4,6.01
