ID,Jogador,Time,Idade,Jogos,Minutos,Roubadas_de_bola,Desarmes,Faltas_cometidas,Dribles_sofridos,Gols,Assistências,Chutes,Passes_chaves,Dribles_realizados,Faltas_sofridas,Impedimentos,Perdas_de_bola,Nota
150,Eduardo Sasha,Atletico MG,28,18(7),1572,0.4,0.2,0.8,0.4,6,2,1.3,0.8,0.3,0.9,0.1,0.7,6.69
151,Luiz Otávio,Ceara,32,23,2064,1.1,1.6,1.2,0.6,1,0,0.3,0.2,0.1,0.2,0,0.1,6.69
152,João Victor,Atletico GO,22,18(2),1582,1.4,1.2,1,0.4,0,1,0.2,0.2,0.5,1,0,0.2,6.69
153,Léo Pereira,Flamengo,24,11(2),982,1,1.8,1.1,0.5,1,0,0.5,0.2,0.1,0.7,0,0.2,6.68
154,Maicon,Gremio,35,9(3),644,0.4,0.7,0.8,0.4,1,0,0.8,0.8,0.8,0.3,0,0.5,6.68
155,Charles,Ceara,24,20(5),1744,2.2,0.9,1.7,1.7,2,2,0.8,0.7,0.4,0.7,0,0.7,6.68
156,Ytalo,Red Bull Bragantino,33,17(6),1374,0.6,0.3,0.9,0.4,3,6,1.7,0.8,0.2,0.7,0.2,0.3,6.68
157,Diego Pituca,Santos FC,28,25(1),2194,1.8,0.9,1.3,1.1,1,2,0.8,0.4,0.5,1.7,0.1,0.4,6.68
158,Renê,Flamengo,28,7(5),693,1.7,1.8,1,1.3,1,1,0.2,0.7,0.7,0.7,0,0.6,6.68
159,Muriel,Fluminense,33,19,1710,0,0,0,0.1,0,0,0,0,0.1,0.3,0,0,6.68
160,Matheus Babi,Botafogo RJ,23,18(9),1820,0.6,0.5,2.2,1.1,6,1,1.3,0.7,0.6,2.2,0.3,1.1,6.68
161,Fernando Prass,Ceara,42,22,1980,0,0,0,0,0,0,0,0,0,0.1,0,0,6.68
162,Fellipe Bastos,Vasco da Gama,30,11(4),799,1.4,0.5,1.5,1.5,4,0,0.9,0.5,0.2,0.3,0,0.4,6.67
163,Zé Roberto,Atletico GO,27,16(2),1270,0.5,0.2,2.3,0.3,2,1,1.6,0.9,0.8,2.4,0.5,0.8,6.67
164,Patric,Sport Recife,31,29,2610,1.2,1.2,1.2,0.8,1,4,1,1.2,0.7,1.2,0.3,0.7,6.67
165,Uendel,Internacional,32,12,1044,1,1.3,1.6,0.7,0,1,0.4,1.3,0.6,0.4,0,0.6,6.67
166,Neto Borges,Vasco da Gama,24,10(7),900,1.1,0.9,1.1,0.4,0,1,0.4,0.6,1.5,1.1,0.1,0.4,6.67
167,Osvaldo,Fortaleza,33,21(7),1654,1,0.4,0.5,0.6,1,4,0.9,0.8,1.3,0.9,0.1,0.7,6.67
168,Lucas Mugni,Sport Recife,29,17(6),1540,2.6,0.4,1,1.6,1,3,0.7,0.7,1.2,0.6,0.2,1.3,6.66
169,Hugo Souza,Flamengo,21,14,1260,0,0,0,0.1,0,0,0,0,0,0.1,0,0,6.66
170,Igor Gomes,Sao Paulo,21,24(6),1975,0.5,0.7,1.1,0.4,3,2,1,0.8,1,1.2,0.2,0.8,6.66
171,Rodrigues,Gremio,23,13(3),1212,0.9,0.9,0.3,0.9,0,0,0.5,0.2,0.4,0.6,0.1,0.3,6.66
172,Willian,Palmeiras,34,14(13),1465,0.3,0.3,0.7,0.4,7,4,1.4,0.6,0.7,1,0.3,0.5,6.66
173,Keisuke Honda,Botafogo RJ,34,15(3),1295,1.3,1.2,1.3,1.3,2,0,1.2,1.5,0.6,0.7,0,0.5,6.66
174,Matheus Galdezani,Coritiba,28,16(4),1246,1.4,1.9,1.3,1.4,1,1,1.3,0.5,0.5,1.9,0.1,0.6,6.66
175,Tchê Tchê,Sao Paulo,28,19(7),1758,0.8,0.6,0.7,0.3,3,2,1.1,0.9,0.8,1.1,0,1,6.66
176,Gabriel Barbosa,Flamengo,24,13(3),1084,0.3,0,0.3,0.1,8,0,2.8,0.6,0.8,1.1,0.8,0.4,6.65
177,Renato Kayzer,Athletico Paranaense,24,18(1),1548,0.2,0.4,1.4,0.5,7,1,2.2,0.4,0.4,1.3,0.7,0.7,6.65
178,Gabriel Boschilia,Internacional,24,9(4),857,1.3,0.5,1.9,2.1,1,1,1.5,0.6,0.8,1,0,1,6.65
179,Vinícius,Goias,21,17(4),1536,0.9,0.3,1.4,1,5,2,1.8,0.6,1.4,1.9,0.1,1.2,6.65
